iter	MultiClass
0	1.961238501
1	1.889379345
2	1.836609492
3	1.79534552
4	1.766261675
5	1.739402919
6	1.719392686
7	1.702265258
8	1.687715338
9	1.677846928
10	1.666556386
11	1.65764959
12	1.648881809
13	1.642252595
14	1.636938597
15	1.631969504
16	1.627491309
17	1.623246379
18	1.619146797
19	1.613695395
20	1.609618034
21	1.606292531
22	1.602668281
23	1.599068292
24	1.59673006
25	1.593668202
26	1.590777025
27	1.587268495
28	1.58488507
29	1.581649417
30	1.579378384
31	1.576621283
32	1.574550882
33	1.572359607
34	1.570281369
35	1.568232437
36	1.566795812
37	1.5650204
38	1.562916936
39	1.560627332
40	1.558256895
41	1.556233941
42	1.55469437
43	1.55325474
44	1.550519109
45	1.548920497
46	1.547537009
47	1.54592981
48	1.544182845
49	1.542495779
50	1.541069674
51	1.539011618
52	1.53736105
53	1.535643713
54	1.534412335
55	1.533122454
56	1.531633014
57	1.530105574
58	1.529097049
59	1.52744047
60	1.526345745
61	1.524812615
62	1.523582204
63	1.522363708
64	1.520933739
65	1.520042436
66	1.518996018
67	1.517707639
68	1.5165864
69	1.515142261
70	1.513929884
71	1.512737044
72	1.511605928
73	1.510686609
74	1.509341229
75	1.508495227
76	1.507426588
77	1.506547738
78	1.505574959
79	1.504851548
80	1.504040219
81	1.502873894
82	1.501882437
83	1.500775153
84	1.499895122
85	1.498988255
86	1.498195712
87	1.497508583
88	1.496339897
89	1.495719109
90	1.494596903
91	1.493678979
92	1.492840921
93	1.491988264
94	1.491062611
95	1.490481649
96	1.489800747
97	1.489015826
98	1.4883901
99	1.487637812
100	1.486883377
101	1.486042206
102	1.485375259
103	1.484569513
104	1.483785665
105	1.482961133
106	1.482442861
107	1.481853419
108	1.481122708
109	1.480343261
110	1.47983755
111	1.479097929
112	1.478620342
113	1.47782694
114	1.476913525
115	1.476301647
116	1.475673882
117	1.475054597
118	1.474295331
119	1.473821394
120	1.473283156
121	1.472590876
122	1.47188464
123	1.471294231
124	1.470571571
125	1.469928885
126	1.469271921
127	1.468638252
128	1.468083912
129	1.467609653
130	1.467074099
131	1.466486374
132	1.465785076
133	1.465226013
134	1.464682729
135	1.464165746
136	1.463641893
137	1.463119113
138	1.4624965
139	1.462042852
140	1.4614635
141	1.461028852
142	1.460455083
143	1.459794147
144	1.459121725
145	1.45860281
146	1.458122432
147	1.457605127
148	1.457054437
149	1.456528651
150	1.456096902
151	1.455535262
152	1.45502955
153	1.454572145
154	1.454038738
155	1.453652074
156	1.453260043
157	1.452675753
158	1.452243681
159	1.45180388
160	1.451442765
161	1.450968399
162	1.450550819
163	1.450072481
164	1.44973423
165	1.449246768
166	1.448829939
167	1.448045018
168	1.447563996
169	1.447244531
170	1.446893292
171	1.446537866
172	1.446140682
173	1.44574908
174	1.445388931
175	1.445045099
176	1.44470556
177	1.444360976
178	1.44394082
179	1.443523026
180	1.442843626
181	1.442373124
182	1.441997732
183	1.441564587
184	1.441122532
185	1.440753473
186	1.440192263
187	1.439825136
188	1.439415393
189	1.438871143
190	1.438498434
191	1.438027611
192	1.437579544
193	1.437202327
194	1.436790114
195	1.43643705
196	1.436049098
197	1.435698717
198	1.435291443
199	1.434889106
