iter	Passed	Remaining
0	129	209521
1	191	155308
2	250	134932
3	317	128304
4	375	121220
5	453	122029
6	508	117089
7	559	112775
8	637	114182
9	690	111207
10	770	112647
11	820	109880
12	895	110689
13	978	112227
14	1029	110192
15	1087	109035
16	1142	107747
17	1200	106862
18	1253	105645
19	1310	104873
20	1368	104204
21	1438	104488
22	1498	104075
23	1573	104643
24	1628	103925
25	1689	103560
26	1746	103059
27	1814	103154
28	1868	102483
29	1925	102028
30	1983	101684
31	2048	101656
32	2105	101242
33	2161	100808
34	2220	100556
35	2279	100303
36	2334	99881
37	2392	99593
38	2453	99449
39	2519	99518
40	2581	99409
41	2646	99435
42	2706	99249
43	2760	98880
44	2818	98655
45	2871	98256
46	2927	97993
47	2995	98115
48	3056	97988
49	3120	97982
50	3174	97674
51	3234	97535
52	3300	97596
53	3373	97843
54	3436	97786
55	3495	97616
56	3550	97356
57	3611	97267
58	3664	96955
59	3735	97119
60	3790	96869
61	3855	96875
62	3913	96723
63	3974	96635
64	4034	96520
65	4087	96239
66	4141	96007
67	4198	95818
68	4250	95552
69	4318	95628
70	4380	95568
71	4450	95686
72	4510	95578
73	4572	95527
74	4640	95596
75	4695	95394
76	4762	95427
77	4820	95306
78	4882	95237
79	4933	94972
80	4991	94831
81	5051	94738
82	5106	94566
83	5181	94741
84	5244	94701
85	5299	94523
86	5351	94304
87	5408	94162
88	5483	94322
89	5533	94076
90	5589	93910
91	5665	94088
92	5734	94150
93	5797	94111
94	5863	94125
95	5918	93950
96	5974	93801
97	6039	93797
98	6091	93585
99	6149	93470
100	6201	93261
101	6262	93205
102	6321	93102
103	6378	92984
104	6440	92933
105	6499	92825
106	6552	92650
107	6605	92477
108	6662	92362
109	6720	92258
110	6778	92144
111	6838	92070
112	6892	91920
113	6956	91893
114	7016	91822
115	7073	91707
116	7135	91659
117	7191	91538
118	7250	91454
119	7304	91310
120	7362	91214
121	7419	91104
122	7486	91116
123	7540	90978
124	7605	90957
125	7666	90901
126	7722	90782
127	7778	90670
128	7834	90555
129	7896	90502
130	7950	90373
131	8006	90260
132	8079	90331
133	8144	90324
134	8204	90251
135	8266	90198
136	8330	90178
137	8389	90099
138	8470	90254
139	8529	90169
140	8590	90109
141	8648	90018
142	8714	90006
143	8783	90029
144	8843	89964
145	8901	89872
146	8957	89761
147	9017	89686
148	9076	89610
149	9139	89571
150	9199	89500
151	9282	89647
152	9340	89557
153	9395	89443
154	9458	89398
155	9514	89290
156	9576	89235
157	9654	89333
158	9712	89241
159	9769	89150
160	9825	89035
161	9883	88953
162	9939	88842
163	10001	88796
164	10055	88674
165	10117	88623
166	10175	88529
167	10236	88470
168	10299	88430
169	10356	88337
170	10413	88237
171	10474	88183
172	10538	88144
173	10598	88077
174	10659	88015
175	10717	87929
176	10768	87793
177	10826	87704
178	10885	87633
179	10950	87605
180	11014	87571
181	11076	87515
182	11133	87422
183	11192	87351
184	11253	87294
185	11310	87201
186	11390	87285
187	11452	87232
188	11513	87175
189	11585	87198
190	11645	87124
191	11709	87092
192	11786	87144
193	11845	87069
194	11905	87001
195	11970	86966
196	12028	86886
197	12093	86851
198	12153	86782
199	12223	86787
200	12285	86733
201	12343	86650
202	12411	86633
203	12474	86585
204	12529	86484
205	12587	86399
206	12644	86315
207	12711	86291
208	12774	86243
209	12830	86149
210	12888	86068
211	12946	85987
212	13003	85899
213	13074	85899
214	13133	85823
215	13189	85729
216	13245	85638
217	13305	85568
218	13362	85483
219	13422	85412
220	13478	85323
221	13539	85263
222	13598	85188
223	13662	85145
224	13720	85069
225	13783	85020
226	13838	84921
227	13899	84858
228	13956	84772
229	14012	84685
230	14070	84606
231	14128	84528
232	14188	84460
233	14243	84364
234	14302	84292
235	14363	84232
236	14424	84172
237	14482	84097
238	14546	84050
239	14603	83972
